Month,Month Label,orders,customers,sales,profit,avg_discount,profit_margin,sales_growth,profit_growth
2015-01-01,2015-01,79,38,122497,32594.5,0.22506329113924053,0.2660840673649151,,
2015-02-01,2015-02,46,28,66030,18125.94,0.23217391304347826,0.2745106769650159,-0.46096639101365744,-0.44389574928285447
2015-03-01,2015-03,157,50,247156,66572.78,0.2207643312101911,0.26935530596060786,2.743086475844313,2.672790487003709
2015-04-01,2015-04,135,47,203258,51679.95,0.23548148148148149,0.2542578889883793,-0.17761252002783667,-0.2237074972684031
2015-05-01,2015-05,122,47,164263,37879.04,0.22565573770491804,0.23059995251517384,-0.19184976729083236,-0.2670457305009002
2015-06-01,2015-06,135,45,206064,51360.520000000004,0.22540740740740742,0.24924547713331782,0.25447605364567805,0.3559087030716723
2015-07-01,2015-07,143,46,220986,53604.46,0.232027972027972,0.24256948403971293,0.07241439552760309,0.04368997821673126
2015-08-01,2015-08,153,46,230161,54424.99,0.23189542483660133,0.23646486589821905,0.0415184672332185,0.01530712183277294
2015-09-01,2015-09,268,49,382200,95193.28,0.23093283582089552,0.24906666666666666,0.6605767267260743,0.7490729901833699
2015-10-01,2015-10,159,48,241726,63465.04,0.22660377358490566,0.262549498192168,-0.36754055468341185,-0.3333033592287187
2015-11-01,2015-11,318,50,480979,124528.77,0.230062893081761,0.25890687535214635,0.9897694083383666,0.9621632634281803
2015-12-01,2015-12,278,50,410279,103099.84,0.22823741007194245,0.25129202323297073,-0.14699186450967716,-0.17208015465020654
2016-01-01,2016-01,58,34,89009,20487.32,0.2186206896551724,0.2301713309890011,-0.7830525081712688,-0.8012865975349719
2016-02-01,2016-02,64,35,90823,24115.62,0.20359375000000002,0.2655232705371987,0.020379961576919126,0.17709978659971148
2016-03-01,2016-03,138,48,212164,58060.58,0.2371739130434783,0.2736589619351068,1.3360162073483588,1.4075922576321904
2016-04-01,2016-04,160,48,237272,59001.65,0.23125,0.2486667200512492,0.11834241435870374,0.016208415417138466
2016-05-01,2016-05,146,48,222722,56158.909999999996,0.22746575342465755,0.25214801411625254,-0.06132202704069589,-0.04818068647232754
2016-06-01,2016-06,138,48,205388,54424.72,0.23159420289855073,0.2649849066157711,-0.07782796490692434,-0.030880050912668988
2016-07-01,2016-07,140,49,215776,56951.8,0.237,0.2639394557318701,0.05057744366759498,0.04643257696135139
2016-08-01,2016-08,159,48,229543,58561.35,0.21874213836477988,0.25512148050692024,0.06380227643482139,0.028261617718842835
2016-09-01,2016-09,293,50,429658,108852.15,0.2296928327645051,0.2533460333567628,0.8717974410023395,0.8587711861150742
